Entry Date,ID,Exit Date,Pages Viewed,Conversion
2015/01/01 12:40,3.24056E+18,2015/01/01 12:44,9,No
2015/01/01 12:40,1.26266E+18,2015/01/01 12:46,9,No
2015/01/01 12:40,3.90667E+18,2015/01/01 12:41,1,No
2015/01/01 12:40,1.12408E+18,2015/01/01 12:43,6,No
2015/01/01 12:41,1.70759E+18,2015/01/01 12:41,1,No
2015/01/01 12:44,6.56255E+18,2015/01/01 12:46,7,No
2015/01/01 12:43,5.98405E+18,2015/01/01 12:44,1,No
2015/01/01 12:44,8.63425E+18,2015/01/01 12:45,10,No
2015/01/01 12:44,3.22896E+18,2015/01/01 12:44,1,No
2015/01/01 12:44,5.76281E+18,2015/01/01 12:44,RejectThis,No
2015/01/01 12:44,3.45067E+18,2015/01/01 12:46,6,No
2015/01/01 12:46,1.06837E+18,2015/01/01 12:48,8,No
2015/01/01 12:46,3.37914E+18,2015/01/01 12:46,1,No
2015/01/01 12:47,8.49106E+18,2015/01/01 12:48,12,Yes
2015/01/01 12:50,2.10148E+18,2015/01/01 12:52,10,No
2015/01/01 12:50,6.33038E+18,2015/01/01 12:53,6,No
2015/01/01 12:51,5.59079E+18,2015/01/01 12:53,3,No
2015/01/01 12:51,9.09177E+18,2015/01/01 12:51,1,No
2015/01/01 12:54,4.18904E+18,2015/01/01 12:54,1,No
2015/01/01 12:54,8.01401E+18,2015/01/01 12:55,9,No
2015/01/01 12:54,7.86948E+18,2015/01/01 12:57,6,No
2015/01/01 12:56,9.39482E+17,2015/01/01 12:57,3,No
2015/01/01 12:56,8.75637E+18,2015/01/01 12:59,5,No
2015/01/01 12:58,4.42545E+18,2015/01/01 12:58,1,No
2015/01/01 12:58,1.92828E+18,2015/01/01 12:59,3,No
2015/01/01 12:59,5.12865E+17,2015/01/01 13:00,8,No
2015/01/01 12:59,5.41712E+17,2015/01/01 13:02,9,No
2015/01/01 13:00,2.09788E+16,2015/01/01 13:03,4,No
2015/01/01 13:01,7.66059E+18,2015/01/01 13:07,6,No
2015/01/01 13:02,1.39573E+18,2015/01/01 13:09,9,No
2015/01/01 13:03,5.77867E+18,2015/01/01 13:04,1,No
2015/01/01 13:06,2.19034E+18,2015/01/01 13:29,11,Yes
2015/01/01 13:05,7.26008E+17,2015/01/01 13:07,5,No
